idx: 0, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 1, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 2, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 3, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 4, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 5, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 6, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 7, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 8, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 9, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 10, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 11, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 12, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 13, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 14, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 15, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 16, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 17, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 18, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 19, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 20, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 21, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 22, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 23, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 24, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 25, acc: 1.0000, auroc: 0.0000, f1: 1.0000
idx: 26, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 27, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 28, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 29, acc: 0.0000, auroc: 0.0000, f1: 0.0000
idx: 30, acc: 1.0000, auroc: 0.0000, f1: 1.0000
