idx: 77, case: 3, acc: 0
idx: 78, case: 3, acc: 0
idx: 79, case: 3, acc: 0
idx: 80, case: 3, acc: 0
idx: 81, case: 3, acc: 0
idx: 82, case: 3, acc: 0
idx: 83, case: 3, acc: 0
idx: 84, case: 3, acc: 0
idx: 85, case: 3, acc: 0
idx: 86, case: 3, acc: 0
idx: 87, case: 3, acc: 0
idx: 88, case: 3, acc: 1
idx: 89, case: 3, acc: 0
idx: 90, case: 3, acc: 0
idx: 91, case: 3, acc: 0
idx: 92, case: 3, acc: 0
idx: 93, case: 3, acc: 1
idx: 94, case: 1, acc: 0
idx: 95, case: 3, acc: 0
idx: 96, case: 3, acc: 1
idx: 97, case: 3, acc: 1
idx: 98, case: 2, acc: 1
idx: 99, case: 3, acc: 1
idx: 0, case: 3, acc: 0
idx: 1, case: 3, acc: 0
idx: 2, case: 3, acc: 1
idx: 3, case: 3, acc: 0
idx: 4, case: 3, acc: 0
idx: 5, case: 3, acc: 0
idx: 6, case: 3, acc: 0
idx: 7, case: 3, acc: 1
idx: 8, case: 2, acc: 0
idx: 9, case: 3, acc: 0
idx: 10, case: 3, acc: 1
idx: 11, case: 3, acc: 0
idx: 12, case: 3, acc: 1
idx: 13, case: 3, acc: 0
idx: 14, case: 3, acc: 0
idx: 15, case: 3, acc: 0
idx: 16, case: 3, acc: 0
idx: 17, case: 3, acc: 0
idx: 18, case: 3, acc: 1
idx: 19, case: 3, acc: 0
idx: 20, case: 3, acc: 0
idx: 21, case: 3, acc: 1
idx: 22, case: 3, acc: 0
idx: 23, case: 3, acc: 0
idx: 24, case: 3, acc: 0
idx: 25, case: 3, acc: 0
idx: 26, case: 3, acc: 0
idx: 27, case: 3, acc: 0
idx: 28, case: 3, acc: 0
idx: 29, case: 3, acc: 0
idx: 30, case: 3, acc: 0
idx: 31, case: 3, acc: 0
idx: 32, case: 3, acc: 1
idx: 33, case: 3, acc: 0
idx: 34, case: 3, acc: 0
idx: 35, case: 3, acc: 0
idx: 36, case: 3, acc: 0
idx: 37, case: 3, acc: 0
idx: 38, case: 3, acc: 0
idx: 39, case: 3, acc: 0
idx: 40, case: 3, acc: 0
idx: 41, case: 3, acc: 0
idx: 42, case: 3, acc: 0
idx: 43, case: 3, acc: 0
idx: 44, case: 3, acc: 0
idx: 45, case: 3, acc: 0
idx: 46, case: 3, acc: 0
idx: 47, case: 3, acc: 1
idx: 48, case: 3, acc: 0
idx: 49, case: 3, acc: 0
idx: 50, case: 3, acc: 0
idx: 51, case: 1, acc: 1
idx: 52, case: 3, acc: 0
idx: 53, case: 3, acc: 0
idx: 54, case: 3, acc: 0
idx: 55, case: 3, acc: 1
idx: 56, case: 3, acc: 0
idx: 57, case: 3, acc: 0
idx: 58, case: 3, acc: 0
idx: 59, case: 3, acc: 0
idx: 60, case: 3, acc: 0
idx: 61, case: 3, acc: 0
idx: 62, case: 3, acc: 0
idx: 63, case: 3, acc: 1
idx: 64, case: 3, acc: 0
idx: 65, case: 3, acc: 0
idx: 66, case: 3, acc: 0
idx: 67, case: 3, acc: 0
idx: 68, case: 3, acc: 1
idx: 69, case: 3, acc: 1
idx: 70, case: 3, acc: 0
idx: 71, case: 3, acc: 0
idx: 72, case: 3, acc: 0
idx: 73, case: 2, acc: 0
idx: 74, case: 3, acc: 1
idx: 75, case: 3, acc: 0
idx: 76, case: 3, acc: 0
